Week_min_DateKey;Min of UCLF+OCLF;Average of UCLF+OCLF;Max of UCLF+OCLF
2022-04-04;11469,880999999999;12936,411517857139;14736,718999999999
2022-04-11;13267,468999999999;15025,259297619048;17017,164000000001
2022-04-18;14502,169;15570,741851190473;17086,553
2022-04-25;13358,325999999999;14398,059577380956;15573,154
2022-05-02;13324,67;14767,960880952376;15789,146000000001
2022-05-09;14471,323;16161,242535714284;18612,650000000001
2022-05-16;14019,778;16242,136666666665;17728,969000000001
2022-05-23;13261,768;15067,294571428572;16691,323
2022-05-30;13105,839;14596,087577380948;16540,583999999999
2022-06-06;13807,061;14878,523499999999;16222,530000000001
2022-06-13;13497,925999999999;14625,69175595237;16277,298000000001
2022-06-20;12586,757;15355,155928571428;17797,68
2022-06-27;14098,184999999999;17150,230428571427;18741,027999999998
2022-07-04;14362,963;16570,250708333333;19492,499
2022-07-11;13209,703;14764,834577380956;16663,078000000001
2022-07-18;12728,51;15079,639500000005;16734,204000000002
2022-07-25;12464,995000000001;14794,220214285717;16950,133000000002
2022-08-01;12206,081;14881,189172619044;16910,832999999999
2022-08-08;11583,915999999999;12972,90979761905;15385,549999999999
2022-08-15;12915,995999999999;14191,202976190478;15291,633
2022-08-22;10900,269;13401,425190476191;15239,436
2022-08-29;11159,388999999999;14233,277595238091;16229,772000000001
2022-09-05;13419,822;15521,062624999995;16950,506000000001
2022-09-12;14460,700000000001;16032,749946428568;17862,477999999999
2022-09-19;15916,569;17295,968500000003;19214,761999999999
2022-09-26;14041,947;15686,410190476194;17417,984
2022-10-03;12774,906999999999;13928,123660714287;15308,057000000001
2022-10-10;12118,841;14299,779714285716;16081,460999999999
2022-10-17;14269,981;15494,723630952383;16963,214
2022-10-24;12952,424000000001;14663,848392857142;16770,429
2022-10-31;13396,545;14651,553642857139;16371,993
2022-11-07;13802,826999999999;15599,947839285707;17419,705999999998
2022-11-14;13945,204;15721,259994047625;17599,268
2022-11-21;13108,666999999999;14636,323071428575;16962,315999999999
2022-11-28;15649,962;17044,268946428572;18332,007000000001
2022-12-05;15084,541999999999;17412,141422619043;19924,240000000002
2022-12-12;14305,851000000001;15938,466089285714;17659,907999999999
2022-12-19;13418,172;15604,294535714285;17659,722000000002
2022-12-26;14408,651;16059,205345238097;17777,333999999999
2023-01-02;15252,003000000001;17093,260613095237;18575,054
2023-01-09;15732,019;16845,294601190471;18237,857
2023-01-16;14425,715;15965,374696428567;17872,561000000002
2023-01-23;14019,179;15436,734013888892;16903,327000000001
