Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2023-04-10 To Sunday 2023-04-16;14000; to 14500;1,000000;1;From_14000 To_14500
Monday 2023-04-03 To Sunday 2023-04-09;14000; to 14500;2,000000;3;From_14000 To_14500
Monday 2023-04-10 To Sunday 2023-04-16;14500; to 15000;3,000000;5;From_14500 To_15000
Monday 2023-04-03 To Sunday 2023-04-09;14500; to 15000;11,000000;19;From_14500 To_15000
Monday 2023-04-10 To Sunday 2023-04-16;15000; to 15500;9,000000;15;From_15000 To_15500
Monday 2023-04-03 To Sunday 2023-04-09;15000; to 15500;36,000000;60;From_15000 To_15500
Monday 2023-04-10 To Sunday 2023-04-16;15500; to 16000;4,000000;7;From_15500 To_16000
Monday 2023-04-03 To Sunday 2023-04-09;15500; to 16000;11,000000;19;From_15500 To_16000
Monday 2023-04-10 To Sunday 2023-04-16;16000; to 16500;14,000000;23;From_16000 To_16500
Monday 2023-04-03 To Sunday 2023-04-09;16000; to 16500;16,000000;27;From_16000 To_16500
Monday 2023-04-03 To Sunday 2023-04-09;16500; to 17000;18,000000;31;From_16500 To_17000
Monday 2023-04-10 To Sunday 2023-04-16;16500; to 17000;19,000000;32;From_16500 To_17000
Monday 2023-04-03 To Sunday 2023-04-09;17000; to 17500;5,000000;9;From_17000 To_17500
Monday 2023-04-10 To Sunday 2023-04-16;17000; to 17500;24,000000;40;From_17000 To_17500
Monday 2023-04-10 To Sunday 2023-04-16;17500; to 18000;22,000000;37;From_17500 To_18000
Monday 2023-04-10 To Sunday 2023-04-16;18000; to 18500;4,000000;7;From_18000 To_18500
Monday 2023-04-10 To Sunday 2023-04-16;18500; to 19000;1,000000;1;From_18500 To_19000
