Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2022-12-16 To Thursday 2022-12-22;12600; to 13200;1,000000;2;From_12600 To_13200
Friday 2022-12-16 To Thursday 2022-12-22;13200; to 13800;5,000000;9;From_13200 To_13800
Friday 2022-12-09 To Thursday 2022-12-15;13800; to 14400;3,000000;5;From_13800 To_14400
Friday 2022-12-16 To Thursday 2022-12-22;13800; to 14400;5,000000;8;From_13800 To_14400
Friday 2022-12-09 To Thursday 2022-12-15;14400; to 15000;9,000000;15;From_14400 To_15000
Friday 2022-12-16 To Thursday 2022-12-22;14400; to 15000;11,000000;19;From_14400 To_15000
Friday 2022-12-16 To Thursday 2022-12-22;15000; to 15600;14,000000;24;From_15000 To_15600
Friday 2022-12-09 To Thursday 2022-12-15;15000; to 15600;27,000000;46;From_15000 To_15600
Friday 2022-12-16 To Thursday 2022-12-22;15600; to 16200;20,000000;33;From_15600 To_16200
Friday 2022-12-09 To Thursday 2022-12-15;15600; to 16200;40,000000;68;From_15600 To_16200
Friday 2022-12-09 To Thursday 2022-12-15;16200; to 16800;14,000000;23;From_16200 To_16800
Friday 2022-12-16 To Thursday 2022-12-22;16200; to 16800;25,000000;42;From_16200 To_16800
Friday 2022-12-09 To Thursday 2022-12-15;16800; to 17400;5,000000;8;From_16800 To_17400
Friday 2022-12-16 To Thursday 2022-12-22;16800; to 17400;16,000000;27;From_16800 To_17400
Friday 2022-12-09 To Thursday 2022-12-15;17400; to 18000;2,000000;3;From_17400 To_18000
Friday 2022-12-16 To Thursday 2022-12-22;17400; to 18000;2,000000;4;From_17400 To_18000
