Week_min_DateKey;Min of UCLF+OCLF;Average of UCLF+OCLF;Max of UCLF+OCLF
2022-04-04;11469,880999999999;12936,411517857148;14736,718999999999
2022-04-11;13267,468999999999;15025,259297619041;17017,164000000001
2022-04-18;14502,169;15570,750874999994;17086,553
2022-04-25;13358,325999999999;14398,059577380956;15573,154
2022-05-02;13324,67;14767,960880952382;15789,146000000001
2022-05-09;14471,323;16161,242535714291;18612,650000000001
2022-05-16;14019,778;16242,136666666682;17728,969000000001
2022-05-23;13261,768;15067,294571428572;16691,323
2022-05-30;13105,839;14596,17789285714;16547,883999999998
2022-06-06;13807,061;14877,236065476183;16206,374
2022-06-13;13564,116;14632,652726190474;16269,996999999999
2022-06-20;12586,847;15355,447160714288;17797,68
2022-06-27;14097,065000000001;17146,154886904755;18739,907999999999
2022-07-04;14352,963;16567,435261904764;19492,499
2022-07-11;13209,703;14762,818119047621;16663,078000000001
2022-07-18;12728,51;15079,672488095239;16734,204000000002
2022-07-25;12466,268;14795,051410714281;16950,133000000002
2022-08-01;12206,076999999999;14880,903178571432;16910,832999999999
2022-08-08;11583,915999999999;12972,873434523814;15385,549999999999
2022-08-15;12915,995999999999;14190,713946428583;15291,633
2022-08-22;10902,540999999999;13401,490750000006;15239,436
2022-08-29;11159,388999999999;14235,309470238093;16233,334999999999
2022-09-05;13419,822;15521,419005952375;16950,506000000001
2022-09-12;14460,700000000001;16033,444392857138;17862,477999999999
2022-09-19;15916,569;17295,99092261905;19214,761999999999
2022-09-26;14041,947;15687,183547619044;17417,984
2022-10-03;12774,906999999999;13925,324916666668;15308,057000000001
2022-10-10;12118,841;14289,592839285717;16079,021000000001
2022-10-17;14278,741;15491,315624999994;16963,214
2022-10-24;12944,527;14653,706279761907;16759,339
2022-10-31;13393,545;14634,43764880952;16373,26
2022-11-07;13797,787;15598,595988095243;17415,778999999999
2022-11-14;13966,896000000001;15707,782345238093;17599,268
2022-11-21;13086,290000000001;14609,461398809521;16972,857
2022-11-28;15651,938;16940,675166666664;18334,315999999999
2022-12-05;15535,387000000001;17236,526249999995;18841,587
