Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2023-04-03 To Sunday 2023-04-09;13000; to 13500;2,000000;3;From_13000 To_13500
Monday 2023-04-10 To Sunday 2023-04-16;13500; to 14000;1,000000;2;From_13500 To_14000
Monday 2023-04-03 To Sunday 2023-04-09;13500; to 14000;2,000000;4;From_13500 To_14000
Monday 2023-04-10 To Sunday 2023-04-16;14000; to 14500;1,000000;1;From_14000 To_14500
Monday 2023-04-03 To Sunday 2023-04-09;14000; to 14500;6,000000;10;From_14000 To_14500
Monday 2023-04-10 To Sunday 2023-04-16;14500; to 15000;9,000000;15;From_14500 To_15000
Monday 2023-04-03 To Sunday 2023-04-09;14500; to 15000;27,000000;46;From_14500 To_15000
Monday 2023-04-10 To Sunday 2023-04-16;15000; to 15500;4,000000;6;From_15000 To_15500
Monday 2023-04-03 To Sunday 2023-04-09;15000; to 15500;8,000000;14;From_15000 To_15500
Monday 2023-04-03 To Sunday 2023-04-09;15500; to 16000;13,000000;22;From_15500 To_16000
Monday 2023-04-03 To Sunday 2023-04-09;16000; to 16500;17,000000;28;From_16000 To_16500
Monday 2023-04-03 To Sunday 2023-04-09;16500; to 17000;20,000000;33;From_16500 To_17000
Monday 2023-04-03 To Sunday 2023-04-09;17000; to 17500;5,000000;8;From_17000 To_17500
