Week_min_DateKey;Min of UCLF+OCLF;Average of UCLF+OCLF;Max of UCLF+OCLF
2022-04-04;11469,880999999999;12936,411517857136;14736,718999999999
2022-04-11;13267,468999999999;15025,259297619043;17017,164000000001
2022-04-18;14502,169;15570,741851190474;17086,553
2022-04-25;13358,325999999999;14398,059577380956;15573,154
2022-05-02;13324,67;14767,962380952384;15789,146000000001
2022-05-09;14471,323;16161,578809523811;18612,650000000001
2022-05-16;14019,778;16242,113583333334;17728,969000000001
2022-05-23;13261,768;15067,294571428576;16691,323
2022-05-30;13113,684999999999;14593,946357142857;16538,644
2022-06-06;13807,040999999999;14877,078678571434;16223,287
2022-06-13;13498,075999999999;14628,456821428572;16274,798000000001
2022-06-20;12586,147000000001;15353,11231547619;17792,080000000002
2022-06-27;14093,495000000001;17149,51919642857;18741,027999999998
2022-07-04;14352,963;16569,8125;19488,183000000001
2022-07-11;13209,703;14764,713773809526;16663,078000000001
2022-07-18;12729,68;15080,812565476192;16735,374
2022-07-25;12464,995000000001;14794,167285714288;16950,133000000002
2022-08-01;12206,081;14882,757839285716;16910,832999999999
2022-08-08;11583,915999999999;12972,35810714286;15385,549999999999
2022-08-15;12914,995999999999;14194,850410714287;15296,633
2022-08-22;10905,269;13406,82548214286;15239,436
2022-08-29;11159,388999999999;14233,285529761897;16229,772000000001
2022-09-05;13419,822;15521,049738095238;16950,506000000001
2022-09-12;14460,700000000001;16032,205803571433;17862,477999999999
2022-09-19;15967,050999999999;17317,700845238094;19193,761999999999
2022-09-26;14041,947;15686,24748809524;17412,984
2022-10-03;12774,906999999999;13924,169297619048;15308,057000000001
2022-10-10;12118,841;14297,763345238098;16081,460999999999
2022-10-17;14269,981;15494,854595238095;16963,214
2022-10-24;12955,023999999999;14664,951470238102;16770,429
2022-10-31;13399,145;14657,468255952375;16374,593000000001
2022-11-07;13794,428;15599,23336309524;17419,705999999998
2022-11-14;13945,204;15716,574898809526;17588,324000000001
2022-11-21;13102,305;14639,681607142858;16962,315999999999
2022-11-28;15649,962;17044,826583333335;18332,007000000001
2022-12-05;15084,541999999999;17412,226482142858;19924,240000000002
2022-12-12;14305,851000000001;15938,466089285714;17659,907999999999
2022-12-19;13418,172;15605,675101190478;17659,722000000002
2022-12-26;14453,651;16060,548559523811;17775,673999999999
2023-01-02;15249,941000000001;17163,161464285717;18767,282999999999
2023-01-09;15727,309999999999;17022,181845238094;18254,794999999998
2023-01-16;14698,139999999999;16075,677999999994;18111,614000000001
2023-01-23;14400,352000000001;15888,753369047614;18130,353999999999
2023-01-30;14059,513000000001;16693,358851190475;19388,941999999999
2023-02-06;14800,624;15991,852341666678;17466,593000000001
