Week_min_DateKey;Min of UCLF+OCLF;Average of UCLF+OCLF;Max of UCLF+OCLF
2022-04-04;11469,880999999999;12936,411517857148;14736,718999999999
2022-04-11;13267,468999999999;15025,259297619043;17017,164000000001
2022-04-18;14502,169;15570,74185119048;17086,553
2022-04-25;13358,325999999999;14398,059577380956;15573,154
2022-05-02;13324,67;14767,960880952387;15789,146000000001
2022-05-09;14471,323;16161,242535714287;18612,650000000001
2022-05-16;14019,778;16242,136666666685;17728,969000000001
2022-05-23;13261,768;15067,294571428572;16691,323
2022-05-30;13113,552;14595,237607142853;16540,583999999999
2022-06-06;13807,061;14878,523499999999;16222,530000000001
2022-06-13;13497,925999999999;14625,691755952372;16277,298000000001
2022-06-20;12586,757;15355,155928571425;17797,68
2022-06-27;14098,184999999999;17150,230428571424;18741,027999999998
2022-07-04;14362,963;16570,250708333337;19492,499
2022-07-11;13209,703;14764,834577380952;16663,078000000001
2022-07-18;12728,51;15079,639499999999;16734,204000000002
2022-07-25;12464,995000000001;14794,22021428572;16950,133000000002
2022-08-01;12206,081;14881,189172619055;16910,832999999999
2022-08-08;11583,915999999999;12972,909797619053;15385,549999999999
2022-08-15;12915,995999999999;14191,202976190472;15291,633
2022-08-22;10900,269;13401,42519047619;15239,436
2022-08-29;11159,388999999999;14233,277595238102;16229,772000000001
2022-09-05;13419,822;15521,062625;16950,506000000001
2022-09-12;14460,700000000001;16032,749946428574;17862,477999999999
2022-09-19;15916,569;17295,968500000006;19214,761999999999
2022-09-26;14041,947;15686,41019047619;17417,984
2022-10-03;12774,906999999999;13928,123660714286;15308,057000000001
2022-10-10;12118,841;14299,779714285722;16081,460999999999
2022-10-17;14269,981;15494,72363095238;16963,214
2022-10-24;12952,424000000001;14663,848392857142;16770,429
2022-10-31;13396,545;14648,433083333335;16371,993
2022-11-07;13802,826999999999;15598,047595238091;17419,705999999998
2022-11-14;13945,204;15721,259994047625;17599,268
2022-11-21;13108,666999999999;14636,323071428575;16962,315999999999
2022-11-28;15649,962;17044,282869047616;18332,007000000001
2022-12-05;15084,541999999999;17412,141422619061;19924,240000000002
2022-12-12;14305,851000000001;15938,466089285703;17659,907999999999
2022-12-19;13418,172;15604,294535714291;17659,722000000002
2022-12-26;14453,651;16060,517482142845;17775,673999999999
2023-01-02;15249,941000000001;17090,136190476191;18564,792000000001
2023-01-09;15727,309999999999;16839,239476190476;18254,794999999998
2023-01-16;14423,656000000001;15961,23561309523;17870,499
2023-01-23;14067,036;15806,123071428572;18231,634999999998
2023-01-30;17071,436000000002;17840,702937499995;18762,519
