Date_Time_Hour_Beginning;Thermal_Gen_Excl_Pumping_and_SCO;Eskom_OCGT_SCO_Pumping;Eskom_Gas_SCO_Pumping;Hydro_Water_SCO_Pumping;Pumped_Water_SCO_Pumping;Thermal_Generation;Nuclear_Generation;International_Imports;Eskom_OCGT_Generation;Eskom_Gas_Generation;Dispatchable_IPP_OCGT;Hydro_Water_Generation;Pumped_Water_Generation;IOS_Excl_ILS_and_MLR;ILS_Usage;Manual_Load_Reduction_MLR;Wind;PV;CSP;Other_RE
2023-01-10 00:00:00;15804,667000000001;-3,3330000000000002;-2;0;-1877;17687;922;1315;639;0;0;604;0;0;0;1747,204;620,97299999999996;0;37,978999999999999;39,101999999999997
2023-01-10 18:00:00;17396,800999999999;-3,1989999999999998;-2;0;-33;17435;921;1366;1048;0;453,40600000000001;603;383;231;97,5;3294,3110000000001;1665,6510000000001;275,90800000000002;299,15699999999998;39,048000000000002
2023-01-10 19:00:00;17581,667000000001;-3,3330000000000002;-2;0;-27;17614;921;1359;1041;0;457,04399999999998;604;802;231;352,5;3350,4870000000001;1537,1110000000001;13,042999999999999;302,411;39,948
2023-01-10 20:00:00;17717,534;-3,4660000000000002;-2;0;-16;17739;921;1412;1058;0;458,50700000000001;604;1238;3,5;0;2821,2040000000002;1462,4459999999999;0;306,02600000000001;39,101999999999997
2023-01-10 21:00:00;16718,203999999998;-3,4660000000000002;-2;0;-924;17647,669999999998;921;1347;717;0;340,82400000000001;521;7;0;0;3726,9349999999999;1379,3699999999999;0;298,18400000000003;38,988999999999997
2023-01-10 22:00:00;15811,534;-3,4660000000000002;-2;0;-1448;17265;922;1289;660;0;307,50900000000001;610;0;0;0;3163,5439999999999;1292,336;0;48,387999999999998;40,057000000000002
2023-01-10 23:00:00;15055,667000000001;-3,3330000000000002;-2;0;-1957;17018;922;1270;616;0;307,87200000000001;605;0;0;0;2984,5309999999999;1069,7950000000001;0;37,893999999999998;40,770000000000003
2023-01-10 01:00:00;15460,667000000001;-3,3330000000000002;-2;0;-2299;17765;923;1353;344;0;0;603;0;5,6669999999999998;0;2009,4580000000001;652,51700000000005;0;37,918999999999997;40,042999999999999
2023-01-10 02:00:00;15729,534;-3,4660000000000002;-2;0;-2290;18025;923;1340;234;0;0;604;0;10;0;1768,068;594,26800000000003;0;37,930999999999997;40,203000000000003
2023-01-10 03:00:00;15907,667000000001;-3,3330000000000002;-2;0;-2279;18192;923;1325;236;0;0;604;0;10;0;1905,7170000000001;440,84300000000002;0;37,914000000000001;39,247
2023-01-10 04:00:00;16447,534;-3,4660000000000002;-2;0;-2187;18640;923;1334;400;0;0;604;0;7,3330000000000002;0;2129,5479999999998;295,06999999999999;0;37,706000000000003;39,131999999999998
2023-01-10 05:00:00;18228,534;-3,4660000000000002;-2;0;-679;18913;923;1369;369;0;0;604;0;0;0;1579,346;205,53200000000001;4,984;70,192999999999998;41,192999999999998
2023-01-10 06:00:00;18816,384000000002;-3,0659999999999998;-2;0;-167;18988,450000000001;923;1412;68;0;0;604;133;0;0;1779,876;164,94999999999999;283,04899999999998;202,19;40,539999999999999
2023-01-10 07:00:00;18849,534;-3,4660000000000002;-2;0;-32;18887;923;1396;0;0;0;604;415;0;0;2010,873;173,072;971,25400000000002;241,399;38,677
2023-01-10 08:00:00;18961,534;-3,4660000000000002;-2;0;-33;19000;923;1370;0;0;0;604;435;0;0;2510,9250000000002;198,572;1471,308;369,61700000000002;39,569000000000003
2023-01-10 09:00:00;18659,534;-3,4660000000000002;-2;0;-27;18692;923;1368;0;0;0;604;624;0;0;2784,8499999999999;227,054;1702,2670000000001;363,85199999999998;19,398
2023-01-10 10:00:00;18451,534;-3,4660000000000002;-2;0;-20;18477;922;1356;0;0;0,161;604;913;0;0;2875,248;276,49099999999999;1832,675;291,67399999999998;18,585999999999999
2023-01-10 11:00:00;18311,534;-3,4660000000000002;-2;0;-24;18341;922;1367;2;0;0;603;681;0;0;3063,2910000000002;423,44600000000003;1884,6030000000001;303,70600000000002;17,917999999999999
2023-01-10 12:00:00;17859,534;-3,4660000000000002;-2;0;-28;17893;922;1390;404;0;0;605;648;0;0;3042,5949999999998;608,89599999999996;1834,627;292,33999999999997;17,946000000000002
2023-01-10 13:00:00;17525,800999999999;-3,1989999999999998;-2;0;-31;17562;922;1354;922;0;90,176000000000002;603;452;0;0;3054,2240000000002;757,72299999999996;1712,7750000000001;275,48399999999998;17,645
2023-01-10 14:00:00;17391,934000000001;-3,0659999999999998;-2;0;-28;17425;922;1371;944;0;312,22300000000001;604;614;0;0;2921,5920000000001;950,21400000000006;1572,068;216,84800000000001;29,239999999999998
2023-01-10 15:00:00;17361,667000000001;-3,3330000000000002;-2;0;-30;17397;922;1375;1057;0;440,834;604;540;0;268,19999999999999;2941,7759999999998;1052,6659999999999;1299,9290000000001;244,429;37,576999999999998
2023-01-10 16:00:00;17242,534;-3,4660000000000002;-2;0;-176;17424;921;1397;1045;0;446,65800000000002;601;8;0;178,80000000000001;3695,4940000000001;1363,6759999999999;1108,759;271,32499999999999;40,558999999999997
2023-01-10 17:00:00;17253,534;-3,4660000000000002;-2;0;-38;17297;921;1391;1036;0;450,74900000000002;602;183;0;0;3586,145;1662,5550000000001;680,55200000000002;315,40499999999997;39,863999999999997
2023-01-11 00:00:00;15037,534;-3,4660000000000002;-2;0;-1984;17027;922;1304;552;0;64,159000000000006;610;0;0;0;2778,2600000000002;689,88900000000001;0;37,893999999999998;40,569000000000003
2023-01-11 01:00:00;15229,534;-3,4660000000000002;-2;0;-1958;17193;922;1347;320;0;0;605;0;0;0;2724,8110000000001;515,53599999999994;0;37,918999999999997;40,655999999999999
2023-01-11 02:00:00;15265,534;-3,4660000000000002;-2;0;-1958;17229;922;1347;328;0;0;605;0;0;0;2603,7240000000002;388,471;0;37,951999999999998;40,072000000000003
2023-01-11 03:00:00;15339,720999999998;-3,1989999999999998;-2;0;-1898;17242,919999999998;923;1357;369;0;0;606;0;0;0;2738,491;273,29899999999998;0;20,015999999999998;37,000999999999998
2023-01-11 04:00:00;16525,534;-3,4660000000000002;-2;0;-953;17484;922;1340;382;0;13,75;534;0;0;0;2835,4810000000002;260,68799999999999;0;0;37,139000000000003
2023-01-11 05:00:00;17822,534;-3,4660000000000002;-2;0;-59;17887;922;1374;384;0;289,78100000000001;480;991;0;0;2546,7669999999998;188,99700000000001;4,3090000000000002;0;41,904000000000003
2023-01-11 06:00:00;18106,534;-3,4660000000000002;-2;0;-20;18132;923;1427;365;0;310,95699999999999;481;1021;0;0;2667,8649999999998;187,874;232,20099999999999;7,3999999999999996E-2;41,524999999999999
2023-01-11 07:00:00;18226,574000000001;-3,4660000000000002;-2;0;-32;18264,040000000001;922;1387;372;0;310,798;481;540;0;0;2340,174;177,446;812,029;27,728999999999999;38,186999999999998
2023-01-11 08:00:00;18397,944;-3,4660000000000002;-2;0;-47;18450,41;923;1349;389;0;308,93799999999999;481;369;0;0;2616,069;204,42500000000001;1293,567;121,834;40,987000000000002
2023-01-11 09:00:00;18259,934000000001;-3,0659999999999998;-2;0;-230;18495;922;1347;387;0;307,56;587;0;0;0;3051,3229999999999;352,91500000000002;1508,326;148,06800000000001;42,225000000000001
2023-01-11 10:00:00;17809,800999999999;-3,1989999999999998;-2;0;-79;17894;922;1425;489;0;221,185;604;298;0;0;3166,701;450,94200000000001;1694,518;170,52099999999999;39,896999999999998
2023-01-11 11:00:00;17199,333999999999;-2,6659999999999999;-2;0;-19;17223;922;1487;730;0;180,05699999999999;602;912;0;0;3163,337;445,26900000000001;1730,883;150,68299999999999;38,168999999999997
2023-01-11 12:00:00;16992,332999999999;-0,66700000000000004;-2;0;-25;17020;922;1433;1129;0;289,45100000000002;603;806;0;0;3073,2339999999999;568,55799999999999;1574,74;208,40799999999999;18,363
2023-01-11 13:00:00;16624;0;-2;0;-27;16653;922;1437;1445;0;291,25;603;543;0;0;3370,1930000000002;722,30999999999995;1294,4870000000001;170,65199999999999;18,094000000000001
2023-01-11 14:00:00;16359;0;-2;0;-50;16411;922;1423;1466;0;320,005;603;1073;0;0;3233,6480000000001;836,44100000000003;1297,0650000000001;168,036;21,443000000000001
2023-01-11 15:00:00;16465;0;-2;0;-18;16485;922;1413;1550;0;438,74000000000001;602;1341;0;253,30000000000001;2990,4369999999999;919,29399999999998;1034,203;144,34999999999999;24,599
2023-01-11 16:00:00;16636;0;-2;0;-69;16707;922;1437;1570;0;443,69999999999999;596;180;0;193,69999999999999;4562,5879999999997;910,37599999999998;842,35599999999999;134,56800000000001;15,967000000000001
2023-01-11 17:00:00;16741;0;-2;0;-30;16773;922;1433;1586;0;445,20600000000002;603;547;0;0;4521,0720000000001;854,26400000000001;543,73900000000003;175,655;15,052
2023-01-11 18:00:00;16777;0;-2;0;-29;16808;921;1399;1582;0;449,83300000000003;602;452;223;0;4679,4790000000003;984,77800000000002;168,577;152,45400000000001;12,731999999999999
2023-01-11 19:00:00;16991;0;-2;0;-21;17014;921;1333;1541;0;454,495;602;945;223;59,600000000000001;4882,7110000000002;1085,1210000000001;6,3979999999999997;127,68300000000001;12,667999999999999
2023-01-11 20:00:00;16770;0;-2;0;-27;16799;921;1405;1592;0;454,90100000000001;606;950;0;394,85000000000002;4285,7150000000001;951,71900000000005;0;119,151;12,951000000000001
2023-01-11 21:00:00;16416;0;-2;0;-293;16711;921;1420;1609;0;455,88900000000001;605;232;0;0;4014,7269999999999;673,43100000000004;0;80,831000000000003;16,347000000000001
2023-01-11 22:00:00;15386;0;-2;0;-1298;16686;921;1400;1590;0;457,16500000000002;607;0;0;0;3361,4549999999999;803,29999999999995;0;37,607999999999997;30,477
2023-01-11 23:00:00;14407;0;-2;0;-2209;16618;922;1319;1541;0;402,82999999999998;605;0;0;0;3125,6010000000001;773,202;0;37,527000000000001;39,768999999999998
2023-01-12 00:00:00;14758;0;-2;0;-2026;16786;922;1364;1252;0;6,1369999999999996;607;0;0;0;2785,7130000000002;567,74199999999996;0;37,506999999999998;36,819000000000003
2023-01-12 01:00:00;14685;0;-2;0;-2165;16852;922;1339;1189;0;0;606;0;0;0;2779,3829999999998;461,17700000000002;0;18,888000000000002;37,542999999999999
2023-01-12 02:00:00;14549,599999999999;-0,40000000000000002;-2;0;-2255;16807;922;1357;1188;0;0;603;0;0;0;2742,6289999999999;523,45799999999997;0;0;36,220999999999997
2023-01-12 03:00:00;14490;0;-2;0;-1980;16472;922;1365;1154;0;0;605;0;0;0;2846,1460000000002;617,88199999999995;0;0;35,813000000000002
2023-01-12 21:00:00;16933,534;-3,4660000000000002;-2;0;-513;17452;920;1342;0;0;0;599;0;0;0;4451,8689999999997;1743,164;0;295,71699999999998;36,664999999999999
2023-01-12 22:00:00;16415,800999999999;-3,1989999999999998;-2;0;-1014;17435;920;1300;0;0;0;602;0;0;0;3578,7179999999998;1673,383;0;50,753;36,831000000000003
2023-01-12 23:00:00;16037,667000000001;-3,3330000000000002;-2;0;-1489;17532;920;1347;0;0;0;602;0;0;0;3006,8530000000001;1353,3579999999999;0;37,893000000000001;36,918999999999997
2023-01-12 04:00:00;15629;0;-2;0;-882;16513;922;1361;1098;0;0;604;0;0;0;2904,0909999999999;620,40099999999995;0;0;34,600000000000001
2023-01-12 05:00:00;17208;0;-2;0;-207;17417;922;1380;839;0;0;602;0;0;0;3498,364;775,21799999999996;2,8559999999999999;0;36,396999999999998
2023-01-12 06:00:00;17756;0;-2;0;-118;17876;922;1388;768;0;0;599;109;0;0;3577,4749999999999;813,428;185,28800000000001;0;34,822000000000003
2023-01-12 07:00:00;17495;0;-2;0;-490;17987;922;1360;760;0;0;604;0;0;0;3799,8980000000001;616,02099999999996;688,91700000000003;7,3949999999999996;36,380000000000003
2023-01-12 08:00:00;17631;0;-2;0;-226;17859;922;1329;634;0;0;603;0;0;0;4241,4059999999999;590,78399999999999;1188,9549999999999;122,288;37,036999999999999
2023-01-12 09:00:00;17305,799999999999;-1,2;-2;0;-459;17768;922;1345;416;0;0;603;0;0;0;4406,9179999999997;821,69100000000003;1598,0350000000001;211,59999999999999;37,029000000000003
2023-01-12 10:00:00;17514,667000000001;-3,3330000000000002;-2;0;-86;17606;921;1349;12;0;0;603;157;0;0;4476,0659999999998;929,58500000000004;1750,8820000000001;312,255;20,013000000000002
2023-01-12 11:00:00;17343,667000000001;-3,3330000000000002;-2;0;-33;17382;921;1407;0;0;3,0000000000000001E-3;603;314;0;0;4409,2730000000001;1083,383;1824,635;328,21899999999999;36,886000000000003
2023-01-12 12:00:00;17211,667000000001;-3,3330000000000002;-2;0;-30;17247;921;1339;0;0;0;605;385;0;0;4412,8180000000002;1277,0340000000001;1766,086;338,61000000000001;36,920000000000002
2023-01-12 13:00:00;16920,667000000001;-3,3330000000000002;-2;0;-117;17043;920;1326;0;0;0;600;65;0;0;4782,4700000000003;1412,8019999999999;1598,7829999999999;303,54599999999999;35,680999999999997
2023-01-12 14:00:00;16588,667000000001;-3,3330000000000002;-2;0;-454;17048;920;1305;0;0;0;601;0;0;0;5090,2550000000001;1726,7639999999999;1432,278;298,87900000000002;34,726999999999997
2023-01-12 15:00:00;16781,800999999999;-3,1989999999999998;-2;0;-517;17304;920;1298;0;0;0;601;0;0;0;4895,1859999999997;2222,7280000000001;1364,319;237,798;38,360999999999997
2023-01-12 16:00:00;16898,667000000001;-3,3330000000000002;-2;0;-721;17625;920;1337;0;0;0;601;138;0;0;4927,8549999999996;2159,5239999999999;1198,8219999999999;238,18600000000001;38,530999999999999
2023-01-12 17:00:00;16946,667000000001;-3,3330000000000002;-2;0;-817;17769;920;1404;0;0;0;601;332;0;0;4961,2669999999998;2074,127;780,36800000000005;310,23899999999998;38,491999999999997
2023-01-12 18:00:00;17023,800999999999;-3,1989999999999998;-2;0;-863;17892;920;1363;0;0;0;602;648;0;0;5093,0200000000004;2004,836;290,90699999999998;361,66399999999999;38,558
2023-01-12 19:00:00;17255,667000000001;-3,3330000000000002;-2;0;-704;17965;920;1316;0;0;0;602;992;0;0;5614,2629999999999;2176,5430000000001;13,67;331,596;38,003999999999998
2023-01-12 20:00:00;17463,800999999999;-3,1989999999999998;-2;0;-432;17901;920;1351;0;0;0;604;527;0;0;5174,1599999999999;2191,2080000000001;0;315,15899999999999;37,323
2023-01-13 00:00:00;15926,534;-3,4660000000000002;-2;0;-1824;17756;920;1284;0;0;0;597;0;0;0;2404,337;1217,768;0;37,856000000000002;39,895000000000003
2023-01-13 01:00:00;15571,800999999999;-3,1989999999999998;-2;0;-2233;17810;920;1274;0;0;0;602;0;0;0;2396,9369999999999;1066,204;0;30,169;40,542999999999999
2023-01-13 02:00:00;15612,667000000001;-3,3330000000000002;-2;0;-2263;17881;921;1302;0;0;0;599;0;0;0;2369,326;930,78200000000004;0;0;40,767000000000003
2023-01-13 03:00:00;15587,800999999999;-3,1989999999999998;-2;0;-2275;17868;921;1306;0;0;0;598;0;0;0;2642,788;724,42399999999998;0;0;39,567
2023-01-13 04:00:00;16734,534;-3,4660000000000002;-2;0;-1145;17885;921;1328;0;0;0;605;0;0;0;2754,989;578,58100000000002;0;1,5600000000000001;40,481000000000002
